recipe_slug	score_bound
falafel	1.8960292682638384
spamburger	2.635844286441019
bacon-fried-rice	2.595316733838241
chicken-fingers	2.510997810625339
apple-crisp	2.76734551867206
cranberry-apple-crisp	2.826171265030686
bacon-chocolate-chip-cookies	2.6771705682022278
sujebi	1.9290501006509528
pasta-primavera	2.385723600041043
ramen	1.9523746535494486
brownies	2.7394180805373716
bacon-wrapped-scallops	2.471517921152098
bacon-egg-muffins	2.511953889310861
breakfast-burritos	2.549592709498965
bolognese-sauce	1.883564463980029
croissants	2.548532133232799
bacon-souffle	2.341356022143783
souffle	2.677675829164916
chocolate-souffle	2.583649999079694
butter-croissants	2.216379675798713
pickled-green-beans	1.903865278847936
fried-oysters	1.8772141289614592
peanut-butter-brownies	2.6352141083244707
almond-chip-cookies	2.686654210147839
guacamole	1.927760071833313
brioche-bread	1.9376158361038707
brioche-bread-with-chocolate	2.689877456160591
asparagus-quiche	2.5453836053413177
asparagus-burger	1.9279137232478814
ma-la-chicken	2.5774857077418227
cold-noodles-with-tomatoes	1.9445532953496436
tamales	2.6039303276622023
enchiladas	2.510580497041668
tacos	2.542276327455204
burritos	2.481191331576934
peanut-butter-cupcakes	2.7518825906561095
pickled-asparagus	2.2046992880406298
chocolate-peanut-butter-cake	2.689526653356856
udon	2.209412139014231
vegetable-lasagna	2.1083869039522245
maple-bacon-donuts	2.560289469970513
maple-bacon-pancakes	2.4581724704247105
spinach-and-ricotta-stuffed-shells	2.2563972117877116
quesadillas	2.626849579105392
pico-de-gallo	2.278190828356541
nachos	2.524490302329345
cold-soba-noodles-with-tomato-and-cucumber	2.2224135387423622
fajitas	2.5918566596474
loaded-nachos	2.500681603142459
lasagna	2.4363388829920076
chicken-nuggets	2.557448647441796
pain-au-chocolat	2.833844625822859
nacho-dip	2.4695366579197646
nacho-salad	2.3481083381467545
nacho-casserole	2.472901726547232
nacho-fries	2.5871037538757147
tempura-udon	2.281778678428756
peach-crisp	2.674170027521105
apple-pie	2.863656103559599
blueberry-crisp	2.6064129730672763
berry-crumble	2.506076537293441
strawberry-rhubarb-crisp	2.8323570800072457
peach-cobbler	2.649645256291011
cranberry-sauce	2.2927355894324317
cherry-cobbler	2.657620701100173
apple-crumble	2.849651474798385
chocolate-croissants	2.6273153292499654
french-toast	2.27802150556316
chocolate-babka	2.8546296372756834
cinnamon-babka	2.534146814854257
blueberry-crumble	2.5753415303860705
spam-musubi	2.3562428640682698
taco-salad	2.340517959112118
chiles-rellenos	2.476565953749287
almond-croissants	2.242870388799018
cranberry-relish	2.292735589432432
ma-la-beef	2.3260976147414554
chocolate-cake	2.6726735854273156
spinach-quiche	2.513909912704777
mushroom-quiche	2.558661034691818
quiche-lorraine	2.5541560186351377
croissant-aux-amandes	2.3649576454184222
danishes	2.781803248526124
spinach-and-feta-quiche	2.4706265808884673
cold-sesame-noodles	2.29516734809852
soba-noodle-salad-with-peanut-dressing	2.3136967098147148
dan-dan-noodles	2.389915280954007
vanilla-souffle	2.7526236213999664
bacon-wrapped-dates	2.4905422544398395
cherry-pie	2.7091679961971145
berry-crisp	2.6586050049612213
bacon-and-egg-breakfast-sandwich	2.514988434700295
bacon-wrapped-shrimp-skewers	2.5142030026180064
bacon-wrapped-chicken	2.5944280603004635
bacon-wrapped-asparagus	2.552949947163113
bacon-mac-and-cheese	2.590634322376842
chicken-alfredo-lasagna	2.4819430843535484
classic-beef-lasagna	2.4171175167834447
vegetarian-mushroom-lasagna	2.1775598486273067
spinach-and-ricotta-lasagna	2.42266754432643
